Area Code,State,Market,Market Size,Profit,Margin,Sales,COGS,Total Expenses,Marketing,Inventory,Budget Profit,Budget COGS,Budget Margin,Budget Sales,Product Type,Product,Type,Cluster,Cluster_Selected
203,Connecticut,East,Small Market,0.5265017667844522,0.5224043715846995,0.3072625698324022,0.3186813186813187,0.3277777777777778,0.24358974358974358,0.38146954013236045,0.48863636363636365,0.24444444444444444,0.4111111111111111,0.2368421052631579,Coffee,Columbian,Regular,0,0
203,Connecticut,East,Small Market,0.5038869257950529,0.47759562841530057,0.2324022346368714,0.24725274725274726,0.2777777777777778,0.1858974358974359,0.39725097573392165,0.46590909090909094,0.17777777777777778,0.37777777777777777,0.18421052631578946,Coffee,Columbian,Regular,0,0
203,Connecticut,East,Small Market,0.537102473498233,0.5431693989071038,0.3441340782122904,0.35714285714285715,0.35,0.2692307692307692,0.3960631257424063,0.5113636363636364,0.24444444444444444,0.43333333333333335,0.2543859649122807,Coffee,Columbian,Regular,0,0
203,Connecticut,East,Small Market,0.5250883392226147,0.5202185792349727,0.3039106145251396,0.315934065934066,0.3277777777777778,0.23717948717948717,0.3987782114372985,0.48863636363636365,0.2222222222222222,0.4111111111111111,0.2280701754385965,Coffee,Columbian,Regular,0,0
203,Connecticut,East,Small Market,0.524381625441696,0.47759562841530057,0.23016759776536305,0.24725274725274726,0.25555555555555554,0.1858974358974359,0.39725097573392165,0.46590909090909094,0.17777777777777778,0.37777777777777777,0.18421052631578946,Coffee,Columbian,Regular,0,0
203,Connecticut,East,Small Market,0.524381625441696,0.47759562841530057,0.23016759776536305,0.24725274725274726,0.25555555555555554,0.1858974358974359,0.3964873578822332,0.46590909090909094,0.17777777777777778,0.37777777777777777,0.18421052631578946,Coffee,Columbian,Regular,0,0
203,Connecticut,East,Small Market,0.5462897526501765,0.49945355191256835,0.2882681564245809,0.282967032967033,0.3,0.21153846153846154,0.3957237400305448,0.48863636363636365,0.2,0.4,0.2105263157894737,Coffee,Columbian,Regular,0,0
203,Connecticut,East,Small Market,0.5717314487632508,0.5355191256830601,0.35418994413407817,0.3434065934065934,0.35,0.26282051282051283,0.3947904293229256,0.5113636363636364,0.2222222222222222,0.4111111111111111,0.2280701754385965,Coffee,Columbian,Regular,0,0
203,Connecticut,East,Small Market,0.578798586572438,0.5431693989071038,0.36759776536312844,0.35714285714285715,0.35,0.2692307692307692,0.3960631257424063,0.5113636363636364,0.24444444444444444,0.43333333333333335,0.2543859649122807,Coffee,Columbian,Regular,0,0
203,Connecticut,East,Small Market,0.4614840989399292,0.3639344262295082,0.03798882681564245,0.05494505494505495,0.03333333333333333,0.03205128205128205,0.36806380451383003,0.38636363636363635,0.044444444444444446,0.26666666666666666,0.043859649122807015,Tea,Green Tea,Regular,1,1
203,Connecticut,East,Small Market,0.47420494699646626,0.38907103825136613,0.08156424581005585,0.09890109890109891,0.06111111111111111,0.0641025641025641,0.3684880366536569,0.4090909090909091,0.06666666666666667,0.3,0.07894736842105263,Tea,Green Tea,Regular,1,1
